Ref,Val,Package,PosX,PosY,Rot,Side
"AVR0","ATmega32U4-AU","TQFP-44_10x10mm_P0.8mm",10.700000,-38.950000,90.000000,bottom
"B0","SW_SPST","SW_SPST_TL3342",5.150000,-27.350000,180.000000,bottom
"C0","1uF","C_0402_1005Metric",10.700000,-48.470000,270.000000,bottom
"CPUIN0","Fan_Tacho_PWM","FanPinHeader_1x04_P2.54mm_Vertical",34.290000,-67.990000,180.000000,bottom
"CPUMUX0","74LVC2G157","VSSOP-8_2.4x2.1mm_P0.5mm",16.225000,-53.030000,90.000000,bottom
"CPUOUT0","Fan_Tacho_PWM","FanPinHeader_1x04_P2.54mm_Vertical",45.720000,-67.990000,180.000000,bottom
"DATA0","SATA_DATA_7","SATA_DATA_7",29.275000,-4.220000,180.000000,bottom
"DATA1","SATA_DATA_7","SATA_DATA_7",29.275000,-20.220000,180.000000,bottom
"DATA2","SATA_DATA_7","SATA_DATA_7",29.275000,-36.570000,180.000000,bottom
"DATA3","SATA_DATA_7","SATA_DATA_7",29.275000,-52.220000,180.000000,bottom
"ICSP0","Conn_02x03_Odd_Even","PinHeader_2x03_P2.54mm_Vertical_SMD",15.180000,-18.460000,0.000000,bottom
"INTAKE0","Fan_Tacho_PWM","FanPinHeader_1x04_P2.54mm_Vertical",57.150000,-67.990000,180.000000,bottom
"PFP0","SW_Push_LED","PinHeader_1x04_P2.54mm_Vertical",15.240000,-69.260000,270.000000,bottom
"PMB0","SW_Push_LED","PinHeader_1x04_P2.54mm_Vertical",3.810000,-69.260000,270.000000,bottom
"POWER0","ATA_FLOPPY_POWER_4","ATA_FLOPPY_POWER_4",64.710000,-67.990000,180.000000,bottom
"R0","22","R_0402_1005Metric",11.430000,-62.745000,90.000000,bottom
"R1","22","R_0402_1005Metric",13.970000,-62.745000,90.000000,bottom
"R2","100","R_0402_1005Metric",22.860000,-66.555000,270.000000,bottom
"USB0","USB_IDC","PinHeader_1x04_P2.54mm_Vertical",16.510000,-65.450000,90.000000,bottom
"C1","22pF","C_0402_1005Metric",1.000000,-40.635000,90.000000,top
"C2","22pF","C_0402_1005Metric",1.000000,-38.065000,270.000000,top
"SATA0","SATA_COMBINED_22","SATA_COMBINED_22",41.975000,-11.650000,0.000000,top
"SATA1","SATA_COMBINED_22","SATA_COMBINED_22",41.975000,-27.650000,0.000000,top
"SATA2","SATA_COMBINED_22","SATA_COMBINED_22",41.975000,-43.650000,0.000000,top
"SATA3","SATA_COMBINED_22","SATA_COMBINED_22",41.975000,-59.650000,0.000000,top
"Y0","16MHz","Crystal_SMD_0603-2Pin_6.0x3.5mm",5.400000,-39.350000,90.000000,top
