References,Description,Manufacturer,MPN,Quantity,Octopart
AVR0,ATMega32U4-AU Processor,Microchip Technology,ATMEGA32U4-AU,1,https://octopart.com/atmega32u4-au-microchip-77760310
B0,TL3342 Button,E-Switch,TL3342F260QG,1,https://octopart.com/tl3342f260qg-e-switch-1062785
C0,0201 Capacitor 1uF,Murata Electronics,GRM033C80G105MEA2D,1,https://octopart.com/grm033c80g105mea2d-murata-29782447
C1 C2,0201 Capacitor 22pF,Murata Electronics,GJM0335C0J220JB01D,2,https://octopart.com/gjm0335c0j220jb01d-murata-17806911
CPUIN0 CPUOUT0 INTAKE0,4-pin PC Fan,Molex,47053-1000,3,https://octopart.com/47053-1000-molex-854935
CPUMUX0,74LVC2G157 Multiplexer,Texas Instruments,SN74LVC2G157DCUR,1,https://octopart.com/sn74lvc2g157dcur-texas+instruments-472190
DATA0 DATA1 DATA2 DATA3,SATA 7-pin Male Data Connector,Molex,67800-5005,4,https://octopart.com/67800-5005-molex-766337
ICSP0,2x3-pin 2.54mm Male Header,Amphenol FCL,54202-S0803LF,1,https://octopart.com/54202-s0803lf-fci-40331896
PFP0 PMB0 USB0,4-pin 2.54mm Male Header,Molex,22-28-4040,3,https://octopart.com/22-28-4040-molex-278172
POWER0,Molex ATA Male Power Connector,TE Connectivity,171825-4,1,https://octopart.com/171825-4-te+connectivity-1709417
R2,0201 100Ω Resistor,Vishay,CRCW0201100RJNED,1,https://octopart.com/crcw0201100rjned-vishay-39830172
R0 R1,0201 22Ω Resistor,Vishay,CRCW020122R0JNED,2,https://octopart.com/crcw020122r0jned-vishay-39822809
SATA0 SATA1 SATA2 SATA3,SATA 22-pin Female Data and Power Connector,TE Connectivity,1735284-4,4,https://octopart.com/1735284-4-te+connectivity-41893011
Y0,2-pin 6x3.5mm 16MHz Crystal,ECS,ECS-160-18-23G-JGN-TR,1,https://octopart.com/ecs-160-18-23g-jgn-tr-ecs+international-84739950
